"Antragssteller_ID","Kredit_Zeitspanne","Antragssteller_Kredit_Historie","Kredit_Nutzung","Kredit_Höhe","Antragssteller_Beschäftigt_Seit","Antragssteller_Teilzahlungshöhe","Antragssteller_Geschlecht_Familienstand","Kredit_Zusätzliche_Antragssteller","Antragssteller_Letzter_Wohnwechsel","Antragssteller_Eigentum","Antragssteller_Alter","Antragssteller_Weitere_Ratenzahlungen","Antragssteller_Wohnverhältnis","Antragssteller_Anzahl_Kredite","Antragssteller_Job","Antragssteller_Anzahl_Personen_Vormund","Antragssteller_Telefon","Antragssteller_Ausländisch","Kredit_Score"
539,48,"existing credits paid back duly till now","car (new)",7763,"more than 7 years",4,"male (single)","none",4,"unknown / no property",42,"bank","for free",1,"management / self-employed / highly qualified employee / officer",1,"none",NA,"bad"
540,18,"existing credits paid back duly till now","furniture/equipment",3049,"less than 1 year",1,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",45,"stores","own",1,"unskilled - resident",1,"none","Yes","good"
541,12,"existing credits paid back duly till now","radio/television",1534,"less than 1 year",1,"male (married/widowed)","none",1,"real estate",23,"none","rent",1,"skilled employee / official",1,"none",NA,"bad"
542,24,"delay in paying off in the past","car (new)",2032,"more than 7 years",4,"male (single)","none",4,"unknown / no property",60,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
543,30,"existing credits paid back duly till now","furniture/equipment",6350,"more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",31,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
544,18,"existing credits paid back duly till now","furniture/equipment",2864,"1 to 4 years",2,"male (single)","none",1,"real estate",34,"none","own",1,"unskilled - resident",2,"none","Yes","bad"
545,12,"critical account/ other credits existing (not at this bank)","car (new)",1255,"more than 7 years",4,"male (single)","none",4,"real estate",61,"none","own",2,"unskilled - resident",1,"none",NA,"good"
546,24,"delay in paying off in the past","car (new)",1333,"Unemployed",4,"male (single)","none",2,"real estate",43,"none","for free",2,"skilled employee / official",2,"none",NA,"bad"
547,24,"critical account/ other credits existing (not at this bank)","car (new)",2022,"1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
548,24,"existing credits paid back duly till now","radio/television",1552,"4 to 7 years",3,"male (single)","none",1,"car or other",32,"bank","own",1,"skilled employee / official",2,"none",NA,"good"
549,12,"all credits at this bank paid back duly","radio/television",626,"1 to 4 years",4,"female (divorced/separated/married)","none",4,"real estate",24,"bank","own",1,"unskilled - resident",1,"none","Yes","bad"
550,48,"critical account/ other credits existing (not at this bank)","car (used)",8858,"4 to 7 years",2,"male (single)","none",1,"unknown / no property",35,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
551,12,"critical account/ other credits existing (not at this bank)","repairs",996,"4 to 7 years",4,"female (divorced/separated/married)","none",4,"real estate",23,"none","own",2,"skilled employee / official",1,"none","Yes","good"
552,6,"all credits at this bank paid back duly","radio/television",1750,"more than 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",45,"bank","own",1,"unskilled - resident",2,"none",NA,"good"
553,48,"existing credits paid back duly till now","radio/television",6999,"4 to 7 years",1,"male (married/widowed)","guarantor",1,"real estate",34,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","bad"
554,12,"critical account/ other credits existing (not at this bank)","car (new)",1995,"less than 1 year",4,"male (single)","none",1,"car or other",27,"none","own",1,"skilled employee / official",1,"none",NA,"good"
555,9,"existing credits paid back duly till now","education",1199,"4 to 7 years",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",67,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
556,12,"existing credits paid back duly till now","radio/television",1331,"less than 1 year",2,"male (single)","none",1,"car or other",22,"stores","own",1,"skilled employee / official",1,"none",NA,"bad"
557,18,"no credits taken / all credits paid back duly","car (new)",2278,"less than 1 year",3,"female (divorced/separated/married)","none",3,"car or other",28,"none","own",2,"skilled employee / official",1,"none",NA,"bad"
558,21,"no credits taken / all credits paid back duly","car (new)",5003,"1 to 4 years",1,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",29,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
559,24,"all credits at this bank paid back duly","furniture/equipment",3552,"4 to 7 years",3,"male (single)","none",4,"car or other",27,"bank","own",1,"skilled employee / official",1,"none","Yes","bad"
560,18,"critical account/ other credits existing (not at this bank)","furniture/equipment",1928,"less than 1 year",2,"male (single)","none",2,"real estate",31,"none","own",2,"unskilled - resident",1,"none",NA,"bad"
561,24,"existing credits paid back duly till now","car (used)",2964,"more than 7 years",4,"male (single)","none",4,"unknown / no property",49,"bank","for free",1,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
562,24,"all credits at this bank paid back duly","radio/television",1546,"4 to 7 years",4,"male (single)","guarantor",4,"car or other",24,"bank","rent",1,"unskilled - resident",1,"none",NA,"bad"
563,6,"delay in paying off in the past","radio/television",683,"less than 1 year",2,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",29,"bank","own",1,"skilled employee / official",1,"none",NA,"good"
564,36,"existing credits paid back duly till now","car (new)",12389,"1 to 4 years",1,"male (single)","none",4,"unknown / no property",37,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
565,24,"delay in paying off in the past","business",4712,"1 to 4 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",37,"bank","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
566,24,"delay in paying off in the past","radio/television",1553,"4 to 7 years",3,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",23,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
567,12,"existing credits paid back duly till now","car (new)",1372,"4 to 7 years",2,"male (divorced/separated)","none",3,"car or other",36,"none","own",1,"skilled employee / official",1,"none",NA,"bad"
568,24,"critical account/ other credits existing (not at this bank)","radio/television",2578,"more than 7 years",2,"male (single)","none",2,"car or other",34,"none","own",1,"skilled employee / official",1,"none",NA,"good"
569,48,"existing credits paid back duly till now","radio/television",3979,"4 to 7 years",4,"male (single)","none",1,"car or other",41,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name",NA,"good"
570,48,"existing credits paid back duly till now","radio/television",6758,"1 to 4 years",3,"female (divorced/separated/married)","none",2,"car or other",31,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
571,24,"existing credits paid back duly till now","furniture/equipment",3234,"less than 1 year",4,"female (divorced/separated/married)","none",4,"real estate",23,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name",NA,"bad"
572,30,"critical account/ other credits existing (not at this bank)","radio/television",5954,"4 to 7 years",3,"male (single)","co-Applicant",2,"car or other",38,"none","own",1,"skilled employee / official",1,"none",NA,"good"
573,24,"existing credits paid back duly till now","car (used)",5433,"Unemployed",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",26,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
574,15,"existing credits paid back duly till now","business",806,"1 to 4 years",4,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",22,"none","own",1,"unskilled - resident",1,"none","Yes","good"
575,9,"existing credits paid back duly till now","radio/television",1082,"more than 7 years",4,"male (single)","none",4,"car or other",27,"none","own",2,"unskilled - resident",1,"none","Yes","good"
576,15,"critical account/ other credits existing (not at this bank)","furniture/equipment",2788,"4 to 7 years",2,"female (divorced/separated/married)","co-Applicant",3,"car or other",24,"bank","own",2,"skilled employee / official",1,"none",NA,"good"
577,12,"existing credits paid back duly till now","radio/television",2930,"4 to 7 years",2,"female (divorced/separated/married)","none",1,"real estate",27,"none","own",1,"skilled employee / official",1,"none",NA,"good"
578,24,"critical account/ other credits existing (not at this bank)","education",1927,"1 to 4 years",3,"female (divorced/separated/married)","none",2,"car or other",33,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
579,36,"critical account/ other credits existing (not at this bank)","car (new)",2820,"less than 1 year",4,"male (divorced/separated)","none",4,"car or other",27,"none","own",2,"skilled employee / official",1,"none",NA,"bad"
580,24,"existing credits paid back duly till now","retraining",937,"less than 1 year",4,"male (married/widowed)","none",3,"car or other",27,"none","own",2,"unskilled - resident",1,"none",NA,"good"
581,18,"critical account/ other credits existing (not at this bank)","car (new)",1056,"more than 7 years",3,"male (single)","guarantor",3,"real estate",30,"bank","own",2,"skilled employee / official",1,"none",NA,"bad"
582,12,"critical account/ other credits existing (not at this bank)","car (new)",3124,"less than 1 year",1,"male (single)","none",3,"real estate",49,"bank","own",2,"unskilled - resident",2,"none","Yes","good"
583,9,"existing credits paid back duly till now","furniture/equipment",1388,"1 to 4 years",4,"female (divorced/separated/married)","none",2,"real estate",26,"none","rent",1,"skilled employee / official",1,"none",NA,"good"
584,36,"existing credits paid back duly till now","repairs",2384,"less than 1 year",4,"male (single)","none",1,"unknown / no property",33,"none","rent",1,"unskilled - resident",1,"none",NA,"bad"
585,12,"existing credits paid back duly till now","car (new)",2133,"more than 7 years",4,"female (divorced/separated/married)","none",4,"unknown / no property",52,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
586,18,"existing credits paid back duly till now","furniture/equipment",2039,"1 to 4 years",1,"female (divorced/separated/married)","none",4,"real estate",20,"bank","rent",1,"skilled employee / official",1,"none","Yes","bad"
587,9,"critical account/ other credits existing (not at this bank)","car (new)",2799,"1 to 4 years",2,"male (single)","none",2,"real estate",36,"none","rent",2,"skilled employee / official",2,"none",NA,"good"
588,12,"existing credits paid back duly till now","furniture/equipment",1289,"1 to 4 years",4,"male (single)","guarantor",1,"building society savings agreement/ life insurance",21,"none","own",1,"unskilled - resident",1,"none",NA,"good"
589,18,"existing credits paid back duly till now","domestic appliances",1217,"1 to 4 years",4,"male (married/widowed)","none",3,"real estate",47,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name",NA,"bad"
590,12,"critical account/ other credits existing (not at this bank)","furniture/equipment",2246,"more than 7 years",3,"male (single)","none",3,"building society savings agreement/ life insurance",60,"none","own",2,"skilled employee / official",1,"none",NA,"bad"
591,12,"critical account/ other credits existing (not at this bank)","radio/television",385,"4 to 7 years",4,"female (divorced/separated/married)","none",3,"real estate",58,"none","own",4,"unskilled - resident",1,"yes, registered under the customers name",NA,"good"
592,24,"delay in paying off in the past","car (new)",1965,"1 to 4 years",4,"female (divorced/separated/married)","none",4,"car or other",42,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
593,21,"existing credits paid back duly till now","business",1572,"more than 7 years",4,"female (divorced/separated/married)","none",4,"real estate",36,"bank","own",1,"unskilled - resident",1,"none",NA,"good"
594,24,"existing credits paid back duly till now","car (new)",2718,"1 to 4 years",3,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",20,"none","rent",1,"unskilled - resident",1,"yes, registered under the customers name","Yes","bad"
595,24,"all credits at this bank paid back duly","others",1358,"more than 7 years",4,"male (single)","none",3,"car or other",40,"stores","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","bad"
596,6,"all credits at this bank paid back duly","car (new)",931,"less than 1 year",1,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",32,"stores","own",1,"unskilled - resident",1,"none",NA,"bad"
597,24,"existing credits paid back duly till now","car (new)",1442,"4 to 7 years",4,"female (divorced/separated/married)","none",4,"car or other",23,"none","rent",2,"skilled employee / official",1,"none","Yes","bad"
598,24,"no credits taken / all credits paid back duly","business",4241,"1 to 4 years",1,"male (single)","none",4,"real estate",36,"none","own",3,"unskilled - resident",1,"yes, registered under the customers name",NA,"bad"
599,18,"critical account/ other credits existing (not at this bank)","car (new)",2775,"4 to 7 years",2,"male (single)","none",2,"building society savings agreement/ life insurance",31,"bank","own",2,"skilled employee / official",1,"none","Yes","bad"
600,24,"delay in paying off in the past","business",3863,"1 to 4 years",1,"male (single)","none",2,"unknown / no property",32,"none","for free",1,"skilled employee / official",1,"none",NA,"good"
601,7,"existing credits paid back duly till now","radio/television",2329,"less than 1 year",1,"female (divorced/separated/married)","guarantor",1,"real estate",45,"none","own",1,"skilled employee / official",1,"none",NA,"good"
602,9,"existing credits paid back duly till now","furniture/equipment",918,"1 to 4 years",4,"female (divorced/separated/married)","none",1,"building society savings agreement/ life insurance",30,"none","own",1,"skilled employee / official",1,"none",NA,"bad"
603,24,"all credits at this bank paid back duly","education",1837,"4 to 7 years",4,"female (divorced/separated/married)","none",4,"unknown / no property",34,"bank","for free",1,"unskilled - resident",1,"none",NA,"bad"
604,36,"existing credits paid back duly till now","furniture/equipment",3349,"1 to 4 years",4,"female (divorced/separated/married)","none",2,"car or other",28,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"bad"
605,10,"existing credits paid back duly till now","furniture/equipment",1275,"less than 1 year",4,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",23,"none","own",1,"skilled employee / official",1,"none",NA,"good"
606,24,"all credits at this bank paid back duly","furniture/equipment",2828,"1 to 4 years",4,"male (single)","none",4,"real estate",22,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
607,24,"critical account/ other credits existing (not at this bank)","business",4526,"1 to 4 years",3,"male (single)","none",2,"real estate",74,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
608,36,"existing credits paid back duly till now","radio/television",2671,"1 to 4 years",4,"female (divorced/separated/married)","co-Applicant",4,"unknown / no property",50,"none","for free",1,"skilled employee / official",1,"none",NA,"bad"
609,18,"existing credits paid back duly till now","radio/television",2051,"less than 1 year",4,"male (single)","none",1,"real estate",33,"none","own",1,"skilled employee / official",1,"none",NA,"good"
610,15,"existing credits paid back duly till now","car (used)",1300,"more than 7 years",4,"male (single)","none",4,"unknown / no property",45,"bank","for free",1,"skilled employee / official",2,"none",NA,"good"
611,12,"existing credits paid back duly till now","domestic appliances",741,"Unemployed",4,"female (divorced/separated/married)","none",3,"building society savings agreement/ life insurance",22,"none","own",1,"skilled employee / official",1,"none",NA,"bad"
612,10,"existing credits paid back duly till now","car (new)",1240,"more than 7 years",1,"female (divorced/separated/married)","none",4,"unknown / no property",48,"none","for free",1,"unskilled - resident",2,"none","Yes","bad"
613,21,"existing credits paid back duly till now","radio/television",3357,"less than 1 year",4,"female (divorced/separated/married)","none",2,"car or other",29,"bank","own",1,"skilled employee / official",1,"none","Yes","good"
614,24,"all credits at this bank paid back duly","car (used)",3632,"1 to 4 years",1,"female (divorced/separated/married)","guarantor",4,"car or other",22,"bank","rent",1,"skilled employee / official",1,"none",NA,"good"
615,18,"delay in paying off in the past","furniture/equipment",1808,"4 to 7 years",4,"female (divorced/separated/married)","none",1,"real estate",22,"none","own",1,"skilled employee / official",1,"none",NA,"bad"
616,48,"no credits taken / all credits paid back duly","business",12204,"1 to 4 years",2,"male (single)","none",2,"car or other",48,"bank","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
617,60,"delay in paying off in the past","radio/television",9157,"1 to 4 years",2,"male (single)","none",2,"unknown / no property",27,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"none",NA,"good"
618,6,"critical account/ other credits existing (not at this bank)","car (new)",3676,"1 to 4 years",1,"male (single)","none",3,"real estate",37,"none","rent",3,"skilled employee / official",2,"none",NA,"good"
619,30,"existing credits paid back duly till now","furniture/equipment",3441,"1 to 4 years",2,"female (divorced/separated/married)","co-Applicant",4,"car or other",21,"none","rent",1,"skilled employee / official",1,"none","Yes","bad"
620,12,"existing credits paid back duly till now","car (new)",640,"1 to 4 years",4,"male (divorced/separated)","none",2,"real estate",49,"none","own",1,"unskilled - resident",1,"none","Yes","good"
621,21,"critical account/ other credits existing (not at this bank)","business",3652,"4 to 7 years",2,"male (single)","none",3,"building society savings agreement/ life insurance",27,"none","own",2,"skilled employee / official",1,"none",NA,"good"
622,18,"critical account/ other credits existing (not at this bank)","car (new)",1530,"1 to 4 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",32,"bank","own",2,"skilled employee / official",1,"none",NA,"bad"
623,48,"existing credits paid back duly till now","business",3914,"1 to 4 years",4,"male (divorced/separated)","none",2,"real estate",38,"bank","own",1,"skilled employee / official",1,"none",NA,"bad"
624,12,"existing credits paid back duly till now","furniture/equipment",1858,"less than 1 year",4,"female (divorced/separated/married)","none",1,"car or other",22,"none","rent",1,"skilled employee / official",1,"none",NA,"good"
625,18,"existing credits paid back duly till now","radio/television",2600,"1 to 4 years",4,"male (single)","none",4,"unknown / no property",65,"none","for free",2,"skilled employee / official",1,"none",NA,"bad"
626,15,"existing credits paid back duly till now","radio/television",1979,"more than 7 years",4,"male (single)","none",2,"car or other",35,"none","own",1,"skilled employee / official",1,"none",NA,"good"
627,6,"existing credits paid back duly till now","furniture/equipment",2116,"1 to 4 years",2,"male (single)","none",2,"real estate",41,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
628,9,"all credits at this bank paid back duly","car (new)",1437,"4 to 7 years",2,"male (single)","none",3,"unknown / no property",29,"none","own",1,"skilled employee / official",1,"none",NA,"bad"
629,42,"critical account/ other credits existing (not at this bank)","furniture/equipment",4042,"1 to 4 years",4,"male (single)","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
630,9,"existing credits paid back duly till now","education",3832,"more than 7 years",1,"male (single)","none",4,"real estate",64,"none","own",1,"unskilled - resident",1,"none",NA,"good"
631,24,"existing credits paid back duly till now","radio/television",3660,"1 to 4 years",2,"female (divorced/separated/married)","none",4,"car or other",28,"none","own",1,"skilled employee / official",1,"none","Yes","good"
632,18,"all credits at this bank paid back duly","furniture/equipment",1553,"1 to 4 years",4,"male (single)","none",3,"car or other",44,"bank","own",1,"skilled employee / official",1,"none","Yes","bad"
633,15,"existing credits paid back duly till now","radio/television",1444,"less than 1 year",4,"male (single)","none",1,"building society savings agreement/ life insurance",23,"none","own",1,"skilled employee / official",1,"none",NA,"good"
634,9,"existing credits paid back duly till now","furniture/equipment",1980,"less than 1 year",2,"female (divorced/separated/married)","co-Applicant",2,"car or other",15,"none","rent",2,"skilled employee / official",1,"none",NA,"bad"
635,24,"existing credits paid back duly till now","car (new)",1355,"less than 1 year",3,"female (divorced/separated/married)","none",4,"car or other",25,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name",NA,"bad"
636,12,"existing credits paid back duly till now","education",1393,"more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",47,"bank","own",3,"skilled employee / official",2,"yes, registered under the customers name","Yes","good"
637,24,"existing credits paid back duly till now","radio/television",1376,"4 to 7 years",4,"female (divorced/separated/married)","none",1,"car or other",28,"none","own",1,"skilled employee / official",1,"none",NA,"good"
638,60,"delay in paying off in the past","radio/television",15653,"4 to 7 years",2,"male (single)","none",4,"car or other",21,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
639,12,"existing credits paid back duly till now","radio/television",1493,"less than 1 year",4,"female (divorced/separated/married)","none",3,"car or other",34,"none","own",1,"skilled employee / official",2,"none","Yes","good"
640,42,"delay in paying off in the past","radio/television",4370,"4 to 7 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",26,"bank","own",2,"skilled employee / official",2,"yes, registered under the customers name",NA,"bad"
641,18,"existing credits paid back duly till now","education",750,"Unemployed",4,"female (divorced/separated/married)","none",1,"real estate",27,"none","own",1,"unemployed / unskilled - non-resident",1,"none",NA,"bad"
642,15,"existing credits paid back duly till now","repairs",1308,"more than 7 years",4,"male (single)","none",4,"car or other",38,"none","own",2,"unskilled - resident",1,"none",NA,"good"
643,15,"existing credits paid back duly till now","education",4623,"1 to 4 years",3,"male (single)","none",2,"building society savings agreement/ life insurance",40,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"bad"
644,24,"critical account/ other credits existing (not at this bank)","radio/television",1851,"4 to 7 years",4,"male (married/widowed)","guarantor",2,"car or other",33,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
645,18,"critical account/ other credits existing (not at this bank)","radio/television",1880,"4 to 7 years",4,"male (married/widowed)","none",1,"building society savings agreement/ life insurance",32,"none","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
646,36,"delay in paying off in the past","business",7980,"less than 1 year",4,"male (single)","none",4,"car or other",27,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
647,30,"no credits taken / all credits paid back duly","furniture/equipment",4583,"1 to 4 years",2,"male (divorced/separated)","guarantor",2,"real estate",32,"none","own",2,"skilled employee / official",1,"none",NA,"good"
648,12,"existing credits paid back duly till now","car (new)",1386,"1 to 4 years",2,"female (divorced/separated/married)","none",2,"building society savings agreement/ life insurance",26,"none","own",1,"skilled employee / official",1,"none","Yes","bad"
649,24,"existing credits paid back duly till now","car (new)",947,"4 to 7 years",4,"male (single)","none",3,"unknown / no property",38,"bank","for free",1,"skilled employee / official",2,"none",NA,"bad"
650,12,"existing credits paid back duly till now","education",684,"1 to 4 years",4,"male (single)","none",4,"car or other",40,"none","rent",1,"unskilled - resident",2,"none",NA,"bad"
651,48,"existing credits paid back duly till now","education",7476,"4 to 7 years",4,"male (single)","none",1,"unknown / no property",50,"none","for free",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
652,12,"existing credits paid back duly till now","furniture/equipment",1922,"1 to 4 years",4,"male (single)","none",2,"building society savings agreement/ life insurance",37,"none","own",1,"unskilled - resident",1,"none",NA,"bad"
653,24,"existing credits paid back duly till now","car (new)",2303,"more than 7 years",4,"male (single)","co-Applicant",1,"real estate",45,"none","own",1,"skilled employee / official",1,"none",NA,"bad"
654,36,"delay in paying off in the past","car (new)",8086,"more than 7 years",2,"male (single)","none",4,"car or other",42,"none","own",4,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"bad"
655,24,"critical account/ other credits existing (not at this bank)","car (used)",2346,"4 to 7 years",4,"male (single)","none",3,"car or other",35,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
656,14,"existing credits paid back duly till now","car (new)",3973,"Unemployed",1,"male (single)","none",4,"unknown / no property",22,"none","for free",1,"skilled employee / official",1,"none",NA,"good"
657,12,"existing credits paid back duly till now","car (new)",888,"more than 7 years",4,"male (single)","none",4,"car or other",41,"bank","own",1,"unskilled - resident",2,"none",NA,"bad"
658,48,"existing credits paid back duly till now","radio/television",10222,"4 to 7 years",4,"male (single)","none",3,"car or other",37,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
659,30,"no credits taken / all credits paid back duly","business",4221,"1 to 4 years",2,"female (divorced/separated/married)","none",1,"car or other",28,"none","own",2,"skilled employee / official",1,"none",NA,"good"
660,18,"critical account/ other credits existing (not at this bank)","furniture/equipment",6361,"more than 7 years",2,"male (single)","none",1,"unknown / no property",41,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
661,12,"existing credits paid back duly till now","radio/television",1297,"1 to 4 years",3,"male (married/widowed)","none",4,"real estate",23,"none","rent",1,"skilled employee / official",1,"none",NA,"good"
662,12,"existing credits paid back duly till now","car (new)",900,"1 to 4 years",4,"male (married/widowed)","none",2,"car or other",23,"none","own",1,"skilled employee / official",1,"none",NA,"bad"
663,21,"existing credits paid back duly till now","furniture/equipment",2241,"more than 7 years",4,"male (single)","none",2,"real estate",50,"none","own",2,"skilled employee / official",1,"none","Yes","good"
664,6,"delay in paying off in the past","furniture/equipment",1050,"Unemployed",4,"male (single)","none",1,"building society savings agreement/ life insurance",35,"stores","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
665,6,"critical account/ other credits existing (not at this bank)","education",1047,"1 to 4 years",2,"female (divorced/separated/married)","none",4,"building society savings agreement/ life insurance",50,"none","own",1,"unskilled - resident",1,"none",NA,"good"
666,24,"critical account/ other credits existing (not at this bank)","others",6314,"Unemployed",4,"male (single)","co-Applicant",2,"unknown / no property",27,"bank","own",2,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name",NA,"good"
667,30,"all credits at this bank paid back duly","furniture/equipment",3496,"1 to 4 years",4,"male (single)","none",2,"car or other",34,"stores","own",1,"skilled employee / official",2,"yes, registered under the customers name",NA,"good"
668,48,"all credits at this bank paid back duly","business",3609,"1 to 4 years",1,"female (divorced/separated/married)","none",1,"real estate",27,"stores","own",1,"skilled employee / official",1,"none",NA,"good"
669,12,"critical account/ other credits existing (not at this bank)","car (new)",4843,"more than 7 years",3,"male (single)","co-Applicant",4,"building society savings agreement/ life insurance",43,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"bad"
670,30,"critical account/ other credits existing (not at this bank)","radio/television",3017,"more than 7 years",4,"male (single)","none",4,"building society savings agreement/ life insurance",47,"none","own",1,"skilled employee / official",1,"none","Yes","good"
671,24,"critical account/ other credits existing (not at this bank)","business",4139,"1 to 4 years",3,"male (single)","none",3,"building society savings agreement/ life insurance",27,"none","own",2,"unskilled - resident",1,"yes, registered under the customers name",NA,"good"
672,36,"existing credits paid back duly till now","business",5742,"4 to 7 years",2,"male (single)","none",2,"car or other",31,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
673,60,"existing credits paid back duly till now","car (new)",10366,"more than 7 years",2,"male (single)","none",4,"building society savings agreement/ life insurance",42,"none","own",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
674,6,"critical account/ other credits existing (not at this bank)","car (new)",2080,"1 to 4 years",1,"male (married/widowed)","none",2,"car or other",24,"none","own",1,"skilled employee / official",1,"none","Yes","good"
675,21,"delay in paying off in the past","business",2580,"less than 1 year",4,"male (single)","none",2,"real estate",41,"bank","own",1,"unskilled - resident",2,"none",NA,"bad"
676,30,"critical account/ other credits existing (not at this bank)","radio/television",4530,"4 to 7 years",4,"female (divorced/separated/married)","none",4,"car or other",26,"none","rent",1,"management / self-employed / highly qualified employee / officer",1,"yes, registered under the customers name","Yes","good"
677,24,"critical account/ other credits existing (not at this bank)","furniture/equipment",5150,"more than 7 years",4,"male (single)","none",4,"car or other",33,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
678,72,"existing credits paid back duly till now","radio/television",5595,"1 to 4 years",2,"male (married/widowed)","none",2,"car or other",24,"none","own",1,"skilled employee / official",1,"none",NA,"bad"
679,24,"existing credits paid back duly till now","radio/television",2384,"more than 7 years",4,"male (single)","none",4,"real estate",64,"bank","rent",1,"unskilled - resident",1,"none",NA,"good"
680,18,"existing credits paid back duly till now","radio/television",1453,"less than 1 year",3,"female (divorced/separated/married)","none",1,"real estate",26,"none","own",1,"skilled employee / official",1,"none",NA,"good"
681,6,"existing credits paid back duly till now","education",1538,"less than 1 year",1,"female (divorced/separated/married)","none",2,"unknown / no property",56,"none","own",1,"skilled employee / official",1,"none","Yes","good"
682,12,"existing credits paid back duly till now","radio/television",2279,"1 to 4 years",4,"male (single)","none",4,"unknown / no property",37,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name",NA,"good"
683,15,"delay in paying off in the past","radio/television",1478,"1 to 4 years",4,"male (married/widowed)","none",3,"real estate",33,"bank","own",2,"skilled employee / official",1,"none",NA,"good"
684,24,"critical account/ other credits existing (not at this bank)","radio/television",5103,"less than 1 year",3,"male (married/widowed)","none",3,"unknown / no property",47,"none","for free",3,"skilled employee / official",1,"yes, registered under the customers name","Yes","good"
